"id","marketSlug","detectedAt","eventType","severity","detail","is_true_positive","verification_notes"
"658","presidential-election-winner-2024","2024-10-23 22:00:03+00:00","zscore_spike_manual","medium","{'mode': 'manual_sql', 'price': 0.6085, 'window': 30, 'z_score': -2.618473518614185, 'detector': 'ZScoreDetector', 'threshold': 2.5, 'market_slug': 'presidential-election-winner-2024'}","false","自动分诊：中度异常区间（|z|在[2.5,4)），更可能由上下文或事件驱动。人工复核结论：判定为 FALSE（按正常波动/新闻重定价处理）。"
"657","presidential-election-winner-2024","2024-10-23 17:00:02+00:00","zscore_spike_manual","medium","{'mode': 'manual_sql', 'price': 0.6125, 'window': 30, 'z_score': -2.9608734849256644, 'detector': 'ZScoreDetector', 'threshold': 2.5, 'market_slug': 'presidential-election-winner-2024'}","false","自动分诊：中度异常区间（|z|在[2.5,4)），更可能由上下文或事件驱动。人工复核结论：判定为 FALSE（按正常波动/新闻重定价处理）。"
"656","presidential-election-winner-2024","2024-10-22 19:00:02+00:00","zscore_spike_manual","medium","{'mode': 'manual_sql', 'price': 0.6595, 'window': 30, 'z_score': 2.027017495314067, 'detector': 'ZScoreDetector', 'threshold': 2.5, 'market_slug': 'presidential-election-winner-2024'}","false","自动分诊：中度异常区间（|z|在[2.5,4)），更可能由上下文或事件驱动。人工复核结论：判定为 FALSE（按正常波动/新闻重定价处理）。"
"655","presidential-election-winner-2024","2024-10-22 18:00:02+00:00","zscore_spike_manual","medium","{'mode': 'manual_sql', 'price': 0.6615, 'window': 30, 'z_score': 2.36248412251387, 'detector': 'ZScoreDetector', 'threshold': 2.5, 'market_slug': 'presidential-election-winner-2024'}","false","自动分诊：中度异常区间（|z|在[2.5,4)），更可能由上下文或事件驱动。人工复核结论：判定为 FALSE（按正常波动/新闻重定价处理）。"
"654","presidential-election-winner-2024","2024-10-22 03:00:02+00:00","zscore_spike_manual","medium","{'mode': 'manual_sql', 'price': 0.6355, 'window': 30, 'z_score': 1.588643932342089, 'detector': 'ZScoreDetector', 'threshold': 2.5, 'market_slug': 'presidential-election-winner-2024'}","false","自动分诊：中度异常区间（|z|在[2.5,4)），更可能由上下文或事件驱动。人工复核结论：判定为 FALSE（按正常波动/新闻重定价处理）。"
"653","presidential-election-winner-2024","2024-10-22 02:00:02+00:00","zscore_spike_manual","medium","{'mode': 'manual_sql', 'price': 0.6365, 'window': 30, 'z_score': 1.8014463320064333, 'detector': 'ZScoreDetector', 'threshold': 2.5, 'market_slug': 'presidential-election-winner-2024'}","false","自动分诊：中度异常区间（|z|在[2.5,4)），更可能由上下文或事件驱动。人工复核结论：判定为 FALSE（按正常波动/新闻重定价处理）。"
"652","presidential-election-winner-2024","2024-10-22 01:00:02+00:00","zscore_spike_manual","medium","{'mode': 'manual_sql', 'price': 0.6405, 'window': 30, 'z_score': 2.3249355784189913, 'detector': 'ZScoreDetector', 'threshold': 2.5, 'market_slug': 'presidential-election-winner-2024'}","false","自动分诊：中度异常区间（|z|在[2.5,4)），更可能由上下文或事件驱动。人工复核结论：判定为 FALSE（按正常波动/新闻重定价处理）。"
"651","presidential-election-winner-2024","2024-10-22 00:00:02+00:00","zscore_spike_manual","medium","{'mode': 'manual_sql', 'price': 0.649, 'window': 30, 'z_score': 3.4657404777704, 'detector': 'ZScoreDetector', 'threshold': 2.5, 'market_slug': 'presidential-election-winner-2024'}","false","自动分诊：中度异常区间（|z|在[2.5,4)），更可能由上下文或事件驱动。人工复核结论：判定为 FALSE（按正常波动/新闻重定价处理）。"
"650","presidential-election-winner-2024","2024-10-21 23:00:02+00:00","zscore_spike_manual","medium","{'mode': 'manual_sql', 'price': 0.6295, 'window': 30, 'z_score': 2.208697668040461, 'detector': 'ZScoreDetector', 'threshold': 2.5, 'market_slug': 'presidential-election-winner-2024'}","false","自动分诊：中度异常区间（|z|在[2.5,4)），更可能由上下文或事件驱动。人工复核结论：判定为 FALSE（按正常波动/新闻重定价处理）。"
"649","presidential-election-winner-2024","2024-10-21 17:00:03+00:00","zscore_spike_manual","medium","{'mode': 'manual_sql', 'price': 0.6255, 'window': 30, 'z_score': 2.26171116556591, 'detector': 'ZScoreDetector', 'threshold': 2.5, 'market_slug': 'presidential-election-winner-2024'}","false","自动分诊：中度异常区间（|z|在[2.5,4)），更可能由上下文或事件驱动。人工复核结论：判定为 FALSE（按正常波动/新闻重定价处理）。"
