id,marketSlug,detectedAt,eventType,severity,detail,is_true_positive,verification_notes
847,will-trump-acquire-greenland-before-2027,2026-03-12 20:00:39+00:00,zscore_spike_manual,medium,"{'mode': 'manual_sql', 'price': 0.104, 'window': 30, 'z_score': -2.4209170082514904, 'detector': 'ZScoreDetector', 'threshold': 2.5, 'market_slug': 'will-trump-acquire-greenland-before-2027'}",,
846,will-trump-acquire-greenland-before-2027,2026-03-12 16:00:36+00:00,zscore_spike_manual,medium,"{'mode': 'manual_sql', 'price': 0.1045, 'window': 30, 'z_score': -3.088209761787662, 'detector': 'ZScoreDetector', 'threshold': 2.5, 'market_slug': 'will-trump-acquire-greenland-before-2027'}",,
749,what-will-happen-before-gta-vi,2026-03-11 17:00:33+00:00,zscore_spike_manual,medium,"{'mode': 'manual_sql', 'price': 0.585, 'window': 30, 'z_score': 2.521834475699586, 'detector': 'ZScoreDetector', 'threshold': 2.5, 'market_slug': 'what-will-happen-before-gta-vi'}",,
748,what-will-happen-before-gta-vi,2026-03-11 16:00:27+00:00,zscore_spike_manual,medium,"{'mode': 'manual_sql', 'price': 0.585, 'window': 30, 'z_score': 2.9716377017844176, 'detector': 'ZScoreDetector', 'threshold': 2.5, 'market_slug': 'what-will-happen-before-gta-vi'}",,
747,what-will-happen-before-gta-vi,2026-03-11 15:00:35+00:00,zscore_spike_manual,medium,"{'mode': 'manual_sql', 'price': 0.585, 'window': 30, 'z_score': 2.9685692009462534, 'detector': 'ZScoreDetector', 'threshold': 2.5, 'market_slug': 'what-will-happen-before-gta-vi'}",,
845,will-trump-acquire-greenland-before-2027,2026-03-09 22:00:28+00:00,zscore_spike_manual,medium,"{'mode': 'manual_sql', 'price': 0.1085, 'window': 30, 'z_score': -2.565913826400528, 'detector': 'ZScoreDetector', 'threshold': 2.5, 'market_slug': 'will-trump-acquire-greenland-before-2027'}",,
844,will-trump-acquire-greenland-before-2027,2026-03-09 20:00:29+00:00,zscore_spike_manual,medium,"{'mode': 'manual_sql', 'price': 0.1095, 'window': 30, 'z_score': -2.5544079548896947, 'detector': 'ZScoreDetector', 'threshold': 2.5, 'market_slug': 'will-trump-acquire-greenland-before-2027'}",,
746,what-will-happen-before-gta-vi,2026-03-09 17:00:25+00:00,zscore_spike_manual,medium,"{'mode': 'manual_sql', 'price': 0.575, 'window': 30, 'z_score': 2.5765486549563734, 'detector': 'ZScoreDetector', 'threshold': 2.5, 'market_slug': 'what-will-happen-before-gta-vi'}",,
745,what-will-happen-before-gta-vi,2026-03-09 15:00:22+00:00,zscore_spike_manual,medium,"{'mode': 'manual_sql', 'price': 0.57, 'window': 30, 'z_score': 2.600663339589495, 'detector': 'ZScoreDetector', 'threshold': 2.5, 'market_slug': 'what-will-happen-before-gta-vi'}",,
843,will-trump-acquire-greenland-before-2027,2026-03-09 14:00:25+00:00,zscore_spike_manual,medium,"{'mode': 'manual_sql', 'price': 0.1105, 'window': 30, 'z_score': -2.731175129007599, 'detector': 'ZScoreDetector', 'threshold': 2.5, 'market_slug': 'will-trump-acquire-greenland-before-2027'}",,
842,will-trump-acquire-greenland-before-2027,2026-03-09 12:00:35+00:00,zscore_spike_manual,medium,"{'mode': 'manual_sql', 'price': 0.1105, 'window': 30, 'z_score': -3.518961913510532, 'detector': 'ZScoreDetector', 'threshold': 2.5, 'market_slug': 'will-trump-acquire-greenland-before-2027'}",,
841,will-trump-acquire-greenland-before-2027,2026-03-08 13:00:26+00:00,zscore_spike_manual,medium,"{'mode': 'manual_sql', 'price': 0.1135, 'window': 30, 'z_score': 1.5379491222577515, 'detector': 'ZScoreDetector', 'threshold': 2.5, 'market_slug': 'will-trump-acquire-greenland-before-2027'}",,
744,what-will-happen-before-gta-vi,2026-03-08 09:00:25+00:00,zscore_spike_manual,medium,"{'mode': 'manual_sql', 'price': 0.535, 'window': 30, 'z_score': -2.718405255877431, 'detector': 'ZScoreDetector', 'threshold': 2.5, 'market_slug': 'what-will-happen-before-gta-vi'}",,
743,what-will-happen-before-gta-vi,2026-03-08 08:00:21+00:00,zscore_spike_manual,medium,"{'mode': 'manual_sql', 'price': 0.54, 'window': 30, 'z_score': -2.8501314530600936, 'detector': 'ZScoreDetector', 'threshold': 2.5, 'market_slug': 'what-will-happen-before-gta-vi'}",,
742,what-will-happen-before-gta-vi,2026-03-08 07:00:24+00:00,zscore_spike_manual,medium,"{'mode': 'manual_sql', 'price': 0.54, 'window': 30, 'z_score': -3.4714492154304373, 'detector': 'ZScoreDetector', 'threshold': 2.5, 'market_slug': 'what-will-happen-before-gta-vi'}",,
741,what-will-happen-before-gta-vi,2026-03-08 06:00:26+00:00,zscore_spike_manual,medium,"{'mode': 'manual_sql', 'price': 0.55, 'window': 30, 'z_score': -3.414420731771019, 'detector': 'ZScoreDetector', 'threshold': 2.5, 'market_slug': 'what-will-happen-before-gta-vi'}",,
840,will-trump-acquire-greenland-before-2027,2026-03-07 05:00:33+00:00,zscore_spike_manual,medium,"{'mode': 'manual_sql', 'price': 0.109, 'window': 30, 'z_score': -2.794224813380347, 'detector': 'ZScoreDetector', 'threshold': 2.5, 'market_slug': 'will-trump-acquire-greenland-before-2027'}",,
839,will-trump-acquire-greenland-before-2027,2026-03-07 02:00:29+00:00,zscore_spike_manual,medium,"{'mode': 'manual_sql', 'price': 0.1095, 'window': 30, 'z_score': -2.9581768603840337, 'detector': 'ZScoreDetector', 'threshold': 2.5, 'market_slug': 'will-trump-acquire-greenland-before-2027'}",,
740,what-will-happen-before-gta-vi,2026-03-07 00:00:33+00:00,zscore_spike_manual,medium,"{'mode': 'manual_sql', 'price': 0.585, 'window': 30, 'z_score': 2.534370598395916, 'detector': 'ZScoreDetector', 'threshold': 2.5, 'market_slug': 'what-will-happen-before-gta-vi'}",,
739,what-will-happen-before-gta-vi,2026-03-06 22:00:22+00:00,zscore_spike_manual,medium,"{'mode': 'manual_sql', 'price': 0.58, 'window': 30, 'z_score': 2.6661742956978736, 'detector': 'ZScoreDetector', 'threshold': 2.5, 'market_slug': 'what-will-happen-before-gta-vi'}",,
738,what-will-happen-before-gta-vi,2026-03-06 05:00:34+00:00,zscore_spike_manual,medium,"{'mode': 'manual_sql', 'price': 0.535, 'window': 30, 'z_score': -1.5941419041429932, 'detector': 'ZScoreDetector', 'threshold': 2.5, 'market_slug': 'what-will-happen-before-gta-vi'}",,
737,what-will-happen-before-gta-vi,2026-03-06 04:00:24+00:00,zscore_spike_manual,medium,"{'mode': 'manual_sql', 'price': 0.535, 'window': 30, 'z_score': -1.7388749853786591, 'detector': 'ZScoreDetector', 'threshold': 2.5, 'market_slug': 'what-will-happen-before-gta-vi'}",,
736,what-will-happen-before-gta-vi,2026-03-06 02:00:24+00:00,zscore_spike_manual,medium,"{'mode': 'manual_sql', 'price': 0.54, 'window': 30, 'z_score': -1.7335824291647617, 'detector': 'ZScoreDetector', 'threshold': 2.5, 'market_slug': 'what-will-happen-before-gta-vi'}",,
